incident_id,date,time,year,month,hour,day_of_week,area,locality,street_name,zone,location_type,latitude,longitude,incident_type,incident_sub_type,severity,status,department,response_time_minutes,people_involved,victim_count,injuries,damage_cost,report_source,lighting_condition,cctv_available,premises_status,weather_condition,offender_captured
371,2022-04-06,16:00:00,2022,4,16,Thursday,Medchal,Highway Road,North,North,Commercial,17.557603,78.479991,Fire,Fire Alert,High,Resolved,Fire Department,40,12,5,0,132303,Neighbor,No Streetlights,No,Open,Fog,Yes
372,2022-04-17,06:10:00,2022,4,6,Wednesday,Begumpet,Metro Road,North,Central,Commercial,17.452071,78.475016,Medical Emergency,Noise Complaint,Medium,Resolved,Ambulance,48,3,1,0,102766,Neighbor,No Streetlights,No,Open,Cloudy,Yes
373,2022-04-28,23:25:00,2022,4,23,Thursday,Shamshabad,Airport Road,South,South,Residential,17.311447,78.425512,Accident,Car Accident,Critical,In Progress,Traffic Police,13,5,3,2,172245,Driver,Well-lit,Yes,Open,Rain,Yes
374,2022-05-09,17:40:00,2022,5,17,Friday,Patancheru,Industrial Road,North,North,Industrial Area,17.536914,78.411877,Accident,Heart Attack,Critical,Resolved,Traffic Police,14,10,2,2,111707,Neighbor,Dim,Yes,Open,Fog,No
375,2022-05-20,02:55:00,2022,5,2,Monday,Shadnagar,Village Area,South,South,Village Area,17.306044,78.398582,Fire,Heart Attack,Medium,Resolved,Fire Department,50,33,4,0,192729,Neighbor,Dim,No,Open,Hot,Yes
376,2022-05-31,19:10:00,2022,5,19,Friday,Hayathnagar,School Street,East,East,School,17.374099,78.525553,Medical Emergency,Theft,Medium,Resolved,Ambulance,35,29,4,2,13053,Police,Dim,Yes,Open,Clear,No
377,2022-06-11,22:25:00,2022,6,22,Tuesday,Chevella,Agricultural Road,South,South,Commercial,17.305368,78.438177,Fire,Car Accident,Low,In Progress,Fire Department,58,3,1,1,171203,Family,Well-lit,No,Open,Rain,Yes
378,2022-06-22,16:40:00,2022,6,16,Wednesday,Madhapur,Road No 36,West,West,Commercial,17.437924,78.377577,Disaster,Theft,High,Open,Disaster Management,50,21,18,6,73171,Family,Dim,Yes,Open,Fog,No
379,2022-07-03,16:55:00,2022,7,16,Saturday,Gachibowli,Lake View Road,West,West,Commercial,17.424342,78.358687,Accident,Theft,High,Resolved,Traffic Police,48,24,2,1,48979,Anonymous,Dim,Yes,Open,Cloudy,No
380,2022-07-14,04:10:00,2022,7,4,Wednesday,Secunderabad,Railway Station Road,North,North,Commercial,17.446162,78.494295,Crime,Theft,Critical,Resolved,Police,26,38,3,0,37002,Neighbor,No Streetlights,Yes,Open,Fog,Yes
381,2022-07-25,18:25:00,2022,7,18,Sunday,Banjara Hills,Road No 12,Central,Central,Commercial,17.422008,78.468198,Crime,Flood,Medium,Open,Police,24,38,7,6,100774,Driver,Dim,No,Open,Rain,Yes
382,2022-08-05,07:40:00,2022,8,7,Saturday,Jubilee Hills,Metro Road,Central,Central,Commercial,17.435362,78.470405,Disaster,Fire Alert,Critical,Resolved,Disaster Management,53,22,4,4,147653,Family,Daylight,Yes,Open,Rain,Yes
383,2022-08-16,22:00:00,2022,8,22,Wednesday,Miyapur,Industrial Road,West,North,Industrial Area,17.490208,78.368898,Public Complaint,Flood,Medium,Open,GHMC,8,35,20,9,163098,Driver,Dim,No,Open,Clear,No
384,2022-08-27,21:15:00,2022,8,21,Friday,Uppal,Market Road,East,East,Commercial,17.41524,78.54857,Fire,Theft,Low,Resolved,Fire Department,52,15,9,2,56327,Driver,Dim,No,Open,Clear,No
385,2022-09-07,16:30:00,2022,9,16,Sunday,Charminar,Old City Lane,South,South,Residential,17.362891,78.473672,Accident,Theft,Critical,Open,Traffic Police,15,26,4,1,33050,Family,Dim,Yes,Open,Hot,No
386,2022-09-18,14:45:00,2022,9,14,Saturday,Kukatpally,School Street,North,Central,School,17.472652,78.411599,Accident,Flood,Low,Open,Traffic Police,21,19,16,1,63122,Family,Daylight,Yes,Open,Fog,No
387,2022-09-29,20:10:00,2022,9,20,Sunday,Ameerpet,Hospital Road,Central,Central,Hospital,17.433252,78.448145,Disaster,Flood,Low,Open,Disaster Management,25,19,17,14,151042,Citizen,Well-lit,Yes,Open,Fog,No
388,2022-10-10,13:25:00,2022,10,13,Wednesday,LB Nagar,Metro Road,East,East,Residential,17.345791,78.551008,Accident,Noise Complaint,Medium,Open,Traffic Police,15,25,2,2,140763,Police,Well-lit,No,Open,Clear,Yes
389,2022-10-21,04:40:00,2022,10,4,Friday,Nampally,Main Road,Central,Central,Residential,17.400238,78.482546,Fire,Heart Attack,Medium,Open,Fire Department,38,48,3,3,152980,Driver,No Streetlights,No,Open,Heavy Rain,Yes
390,2022-11-01,22:55:00,2022,11,22,Thursday,Tolichowki,Residential Area,South,South,Commercial,17.400463,78.428892,Crime,Fire Alert,Critical,Open,Police,10,27,0,0,88477,Neighbor,Daylight,No,Open,Heavy Rain,Yes
391,2022-11-12,02:10:00,2022,11,2,Sunday,Hitech City,IT Park Road,West,West,Public Park,17.447511,78.365101,Public Complaint,Noise Complaint,Low,In Progress,GHMC,32,24,16,10,121333,Family,Dim,No,Open,Fog,No
392,2022-11-23,17:25:00,2022,11,17,Tuesday,Medchal,Highway Road,North,North,Residential,17.5481,78.487579,Medical Emergency,Theft,High,Resolved,Ambulance,10,34,14,6,131597,Neighbor,Dim,No,Open,Clear,Yes
393,2022-12-04,07:35:00,2022,12,7,Sunday,Begumpet,Metro Road,North,Central,Commercial,17.43395,78.49074,Fire,Fire Alert,Critical,Open,Fire Department,14,43,13,1,160728,Neighbor,Well-lit,No,Open,Rain,Yes
394,2022-12-15,00:50:00,2022,12,0,Sunday,Shamshabad,Airport Road,South,South,Commercial,17.308884,78.424572,Fire,Fire Alert,High,Resolved,Fire Department,13,15,10,2,18099,Anonymous,Well-lit,No,Open,Fog,Yes
395,2022-12-26,18:05:00,2022,12,18,Tuesday,Patancheru,Industrial Road,North,North,Industrial Area,17.510231,78.406206,Crime,Fire Alert,High,Resolved,Police,15,15,6,6,100155,Family,Dim,No,Open,Clear,No
396,2023-01-06,01:20:00,2023,1,1,Tuesday,Shadnagar,Village Area,South,South,Village Area,17.286789,78.402626,Medical Emergency,Car Accident,High,Open,Ambulance,21,7,6,0,172552,Police,Daylight,Yes,Open,Fog,Yes
397,2023-01-17,20:35:00,2023,1,20,Friday,Hayathnagar,School Street,East,East,School,17.402274,78.530609,Public Complaint,Noise Complaint,Medium,In Progress,GHMC,42,13,4,0,89512,Family,No Streetlights,Yes,Open,Heavy Rain,Yes
398,2023-01-28,00:50:00,2023,1,0,Friday,Chevella,Agricultural Road,South,South,Commercial,17.301495,78.437767,Fire,Theft,High,Resolved,Fire Department,31,27,13,1,13957,Police,Daylight,No,Open,Fog,No
399,2023-02-08,17:05:00,2023,2,17,Tuesday,Madhapur,Road No 36,West,West,Commercial,17.450217,78.395695,Medical Emergency,Heart Attack,Medium,In Progress,Ambulance,43,27,20,20,186372,Citizen,Well-lit,Yes,Open,Fog,No
400,2023-02-19,18:20:00,2023,2,18,Sunday,Gachibowli,Lake View Road,West,West,Residential,17.442971,78.342138,Fire,Noise Complaint,Medium,In Progress,Fire Department,36,8,8,2,189177,Driver,Dim,Yes,Open,Fog,No
401,2023-03-02,05:35:00,2023,3,5,Tuesday,Secunderabad,Railway Station Road,North,North,Residential,17.435425,78.481946,Public Complaint,Noise Complaint,Critical,Open,GHMC,51,47,15,0,51715,Family,No Streetlights,No,Open,Clear,Yes
402,2023-03-13,20:50:00,2023,3,20,Wednesday,Banjara Hills,Road No 12,Central,Central,Commercial,17.413826,78.472794,Crime,Noise Complaint,Low,Resolved,Police,25,27,11,4,69482,Citizen,No Streetlights,No,Open,Rain,Yes
403,2023-03-24,08:05:00,2023,3,8,Tuesday,Jubilee Hills,Metro Road,Central,Central,Commercial,17.417257,78.450737,Accident,Theft,Low,Open,Traffic Police,55,2,1,0,33515,Police,Dim,Yes,Open,Heavy Rain,Yes
404,2023-04-04,21:20:00,2023,4,21,Wednesday,Miyapur,Industrial Road,West,North,Industrial Area,17.486903,78.385762,Accident,Fire Alert,Low,Open,Traffic Police,39,8,1,0,55624,Citizen,Well-lit,No,Open,Rain,Yes
405,2023-04-15,23:35:00,2023,4,23,Wednesday,Uppal,Market Road,East,East,Commercial,17.418379,78.566971,Medical Emergency,Noise Complaint,Critical,In Progress,Ambulance,54,3,2,1,61835,Citizen,No Streetlights,No,Open,Clear,No
406,2023-04-26,17:50:00,2023,4,17,Wednesday,Charminar,Old City Lane,South,South,Commercial,17.369615,78.476589,Crime,Fire Alert,Low,Open,Police,33,34,20,8,58157,Family,Daylight,No,Open,Heavy Rain,No
407,2023-05-07,15:05:00,2023,5,15,Monday,Kukatpally,School Street,North,Central,School,17.478388,78.409179,Fire,Heart Attack,Low,Resolved,Fire Department,54,5,3,2,193708,Neighbor,No Streetlights,Yes,Open,Clear,Yes
408,2023-05-18,20:20:00,2023,5,20,Wednesday,Ameerpet,Hospital Road,Central,Central,Hospital,17.440949,78.455945,Disaster,Fire Alert,High,Open,Disaster Management,20,23,4,1,190859,Police,Daylight,Yes,Open,Hot,Yes
409,2023-05-29,14:35:00,2023,5,14,Saturday,LB Nagar,Metro Road,East,East,Commercial,17.34527,78.549761,Crime,Car Accident,High,Open,Police,58,31,8,1,115424,Police,Daylight,Yes,Open,Clear,No
410,2023-06-09,05:50:00,2023,6,5,Wednesday,Nampally,Main Road,Central,Central,Commercial,17.398078,78.489886,Fire,Noise Complaint,Medium,Open,Fire Department,22,6,1,1,124220,Anonymous,Daylight,No,Open,Heavy Rain,No
411,2023-06-20,23:05:00,2023,6,23,Friday,Tolichowki,Residential Area,South,South,Residential,17.375159,78.434114,Fire,Car Accident,High,Open,Fire Department,48,6,5,0,180742,Neighbor,No Streetlights,Yes,Open,Clear,No
412,2023-07-01,03:20:00,2023,7,3,Tuesday,Hitech City,IT Park Road,West,West,Public Park,17.43461,78.390414,Crime,Fire Alert,Low,In Progress,Police,10,1,0,0,107475,Family,Dim,Yes,Open,Heavy Rain,Yes
413,2023-07-12,16:35:00,2023,7,16,Wednesday,Medchal,Highway Road,North,North,Commercial,17.549688,78.482109,Medical Emergency,Heart Attack,High,Open,Ambulance,48,50,12,5,138004,Family,Daylight,No,Open,Cloudy,Yes
414,2023-07-23,08:00:00,2023,7,8,Thursday,Begumpet,Metro Road,North,Central,Commercial,17.45224,78.462056,Crime,Heart Attack,High,Open,Police,41,44,11,1,63316,Driver,Well-lit,Yes,Open,Rain,Yes
415,2023-08-03,00:15:00,2023,8,0,Wednesday,Shamshabad,Airport Road,South,South,Residential,17.328448,78.441296,Public Complaint,Theft,Medium,Open,GHMC,28,21,2,1,48283,Anonymous,No Streetlights,No,Open,Heavy Rain,No
416,2023-08-14,18:30:00,2023,8,18,Saturday,Patancheru,Industrial Road,North,North,Industrial Area,17.509825,78.419744,Accident,Fire Alert,Critical,Open,Traffic Police,5,33,4,3,28287,Citizen,Daylight,Yes,Open,Heavy Rain,No
417,2023-08-25,04:45:00,2023,8,4,Sunday,Shadnagar,Village Area,South,South,Village Area,17.287214,78.411237,Disaster,Car Accident,Medium,Resolved,Disaster Management,37,2,1,1,58338,Neighbor,Daylight,No,Open,Fog,Yes
418,2023-09-05,21:00:00,2023,9,21,Friday,Hayathnagar,School Street,East,East,School,17.383981,78.52365,Public Complaint,Flood,Medium,Resolved,GHMC,48,10,2,1,149141,Anonymous,Daylight,No,Open,Rain,No
419,2023-09-16,00:25:00,2023,9,0,Friday,Chevella,Agricultural Road,South,South,Commercial,17.312312,78.436385,Public Complaint,Fire Alert,Medium,Open,GHMC,23,11,11,6,108174,Family,No Streetlights,Yes,Open,Clear,Yes
420,2023-09-27,16:40:00,2023,9,16,Wednesday,Madhapur,Road No 36,West,West,Residential,17.434987,78.379802,Disaster,Heart Attack,Medium,Resolved,Disaster Management,8,36,17,14,66414,Citizen,No Streetlights,No,Open,Heavy Rain,Yes
421,2023-10-08,19:55:00,2023,10,19,Tuesday,Gachibowli,Lake View Road,West,West,Residential,17.442774,78.34004,Public Complaint,Car Accident,Medium,Open,GHMC,52,21,8,8,155767,Citizen,Daylight,No,Open,Cloudy,No
422,2023-10-19,06:10:00,2023,10,6,Wednesday,Secunderabad,Railway Station Road,North,North,Commercial,17.443933,78.503646,Fire,Fire Alert,Critical,In Progress,Fire Department,32,11,5,2,154330,Anonymous,Daylight,Yes,Open,Fog,No
423,2023-10-30,21:25:00,2023,10,21,Thursday,Banjara Hills,Road No 12,Central,Central,Residential,17.42567,78.490374,Accident,Flood,Low,Open,Traffic Police,31,17,2,1,74628,Citizen,Dim,No,Open,Hot,No
424,2023-11-10,09:40:00,2023,11,9,Thursday,Jubilee Hills,Metro Road,Central,Central,Residential,17.422067,78.474834,Medical Emergency,Flood,Low,Resolved,Ambulance,6,12,12,7,35664,Citizen,Daylight,No,Open,Cloudy,No
425,2023-11-21,22:55:00,2023,11,22,Sunday,Miyapur,Industrial Road,West,North,Industrial Area,17.502269,78.375588,Disaster,Fire Alert,High,Open,Disaster Management,39,32,18,6,78864,Citizen,Dim,No,Open,Hot,No
426,2023-12-02,01:10:00,2023,12,1,Saturday,Uppal,Market Road,East,East,Residential,17.40166,78.568224,Public Complaint,Noise Complaint,High,Open,GHMC,35,43,1,1,83469,Police,Dim,No,Open,Clear,No
427,2023-12-13,19:25:00,2023,12,19,Monday,Charminar,Old City Lane,South,South,Residential,17.368044,78.466112,Crime,Noise Complaint,Medium,In Progress,Police,44,28,16,1,70209,Police,No Streetlights,No,Open,Cloudy,Yes
428,2023-12-24,14:40:00,2023,12,14,Saturday,Kukatpally,School Street,North,Central,School,17.474022,78.407146,Medical Emergency,Fire Alert,Medium,Resolved,Ambulance,24,44,8,1,66792,Driver,No Streetlights,Yes,Open,Fog,No
429,2024-01-04,17:55:00,2024,1,17,Sunday,Ameerpet,Hospital Road,Central,Central,Hospital,17.423882,78.461721,Public Complaint,Heart Attack,Low,Open,GHMC,52,48,3,2,64161,Neighbor,Well-lit,No,Open,Rain,No
430,2024-01-15,12:10:00,2024,1,12,Thursday,LB Nagar,Metro Road,East,East,Commercial,17.339394,78.541206,Disaster,Noise Complaint,Critical,Resolved,Disaster Management,23,34,2,1,163576,Police,Dim,No,Open,Fog,Yes
431,2024-01-26,07:25:00,2024,1,7,Thursday,Nampally,Main Road,Central,Central,Commercial,17.37935,78.48883,Accident,Car Accident,Medium,Resolved,Traffic Police,14,6,4,3,60743,Driver,Daylight,Yes,Open,Cloudy,Yes
432,2024-02-06,22:40:00,2024,2,22,Friday,Tolichowki,Residential Area,South,South,Commercial,17.39674,78.418278,Crime,Fire Alert,High,In Progress,Police,47,9,3,1,87888,Citizen,No Streetlights,Yes,Open,Clear,No
433,2024-02-17,04:55:00,2024,2,4,Wednesday,Hitech City,IT Park Road,West,West,Public Park,17.431556,78.388741,Disaster,Theft,Low,In Progress,Disaster Management,34,27,19,13,192172,Anonymous,Dim,No,Open,Clear,Yes
434,2024-02-28,18:10:00,2024,2,18,Friday,Medchal,Highway Road,North,North,Residential,17.57116,78.493271,Accident,Flood,Low,Open,Traffic Police,36,35,0,0,125942,Police,No Streetlights,No,Open,Heavy Rain,No
435,2024-03-10,09:25:00,2024,3,9,Monday,Begumpet,Metro Road,North,Central,Residential,17.451006,78.475703,Medical Emergency,Heart Attack,Medium,In Progress,Ambulance,24,12,8,3,11862,Neighbor,Well-lit,No,Open,Clear,No
436,2024-03-21,01:40:00,2024,3,1,Tuesday,Shamshabad,Airport Road,South,South,Residential,17.318286,78.446382,Fire,Car Accident,High,In Progress,Fire Department,42,43,20,18,89883,Citizen,Well-lit,No,Open,Rain,Yes
437,2024-04-01,19:55:00,2024,4,19,Tuesday,Patancheru,Industrial Road,North,North,Industrial Area,17.517126,78.408667,Public Complaint,Theft,Low,In Progress,GHMC,53,46,4,2,50505,Anonymous,Well-lit,No,Open,Heavy Rain,Yes
438,2024-04-12,05:10:00,2024,4,5,Sunday,Shadnagar,Village Area,South,South,Village Area,17.312277,78.412429,Public Complaint,Car Accident,Low,Resolved,GHMC,49,4,0,0,96604,Neighbor,Daylight,Yes,Open,Fog,Yes
439,2024-04-23,22:25:00,2024,4,22,Tuesday,Hayathnagar,School Street,East,East,School,17.402536,78.517931,Crime,Car Accident,Low,Open,Police,35,7,5,3,143816,Anonymous,Daylight,Yes,Open,Clear,No
440,2024-05-04,01:40:00,2024,5,1,Sunday,Chevella,Agricultural Road,South,South,Residential,17.315048,78.421536,Accident,Heart Attack,Critical,Open,Traffic Police,24,23,3,1,148220,Family,Daylight,No,Open,Fog,No
441,2024-05-15,17:55:00,2024,5,17,Thursday,Madhapur,Road No 36,West,West,Commercial,17.444626,78.394121,Public Complaint,Theft,High,Open,GHMC,51,23,18,13,30732,Citizen,Dim,Yes,Open,Hot,Yes
442,2024-05-26,21:10:00,2024,5,21,Sunday,Gachibowli,Lake View Road,West,West,Commercial,17.424773,78.339666,Crime,Fire Alert,Low,In Progress,Police,49,6,2,0,92952,Anonymous,No Streetlights,Yes,Open,Cloudy,Yes
443,2024-06-06,07:25:00,2024,6,7,Thursday,Secunderabad,Railway Station Road,North,North,Commercial,17.45117,78.510718,Medical Emergency,Theft,High,Resolved,Ambulance,37,34,13,6,138315,Driver,No Streetlights,Yes,Open,Clear,No
444,2024-06-17,22:40:00,2024,6,22,Sunday,Banjara Hills,Road No 12,Central,Central,Commercial,17.43478,78.480437,Medical Emergency,Car Accident,Low,In Progress,Ambulance,41,46,1,1,4787,Anonymous,Daylight,No,Open,Hot,No
445,2024-06-28,10:55:00,2024,6,10,Tuesday,Jubilee Hills,Metro Road,Central,Central,Residential,17.44251,78.461282,Crime,Heart Attack,Low,Resolved,Police,34,7,0,0,104787,Anonymous,Well-lit,Yes,Open,Hot,Yes
446,2024-07-09,23:10:00,2024,7,23,Friday,Miyapur,Industrial Road,West,North,Industrial Area,17.513552,78.365666,Medical Emergency,Heart Attack,Medium,In Progress,Ambulance,49,29,19,7,77981,Citizen,Dim,Yes,Open,Fog,Yes
447,2024-07-20,02:25:00,2024,7,2,Friday,Uppal,Market Road,East,East,Commercial,17.40588,78.576319,Accident,Theft,High,Resolved,Traffic Police,20,36,2,2,137231,Police,Daylight,Yes,Open,Clear,No
448,2024-07-31,20:40:00,2024,7,20,Friday,Charminar,Old City Lane,South,South,Residential,17.360324,78.473712,Disaster,Fire Alert,Medium,In Progress,Disaster Management,29,20,19,4,49800,Neighbor,Dim,Yes,Open,Rain,No
449,2024-08-11,16:55:00,2024,8,16,Sunday,Kukatpally,School Street,North,Central,School,17.495733,78.412072,Disaster,Flood,Low,Open,Disaster Management,59,16,0,0,85398,Driver,Well-lit,No,Open,Rain,No
450,2024-08-22,18:10:00,2024,8,18,Monday,Ameerpet,Hospital Road,Central,Central,Hospital,17.433376,78.438339,Medical Emergency,Theft,High,In Progress,Ambulance,33,23,2,2,123699,Family,Daylight,No,Open,Rain,Yes
451,2024-09-02,13:25:00,2024,9,13,Tuesday,LB Nagar,Metro Road,East,East,Commercial,17.340854,78.54581,Disaster,Heart Attack,Low,Resolved,Disaster Management,56,7,7,6,139417,Police,No Streetlights,No,Open,Clear,No
452,2024-09-13,08:40:00,2024,9,8,Saturday,Nampally,Main Road,Central,Central,Residential,17.398558,78.49084,Fire,Flood,High,Resolved,Fire Department,24,39,1,0,182392,Family,No Streetlights,Yes,Open,Clear,Yes
453,2024-09-24,23:55:00,2024,9,23,Wednesday,Tolichowki,Residential Area,South,South,Commercial,17.388473,78.434703,Fire,Heart Attack,Low,Open,Fire Department,21,9,5,5,169912,Citizen,No Streetlights,Yes,Open,Rain,Yes
454,2024-10-05,05:10:00,2024,10,5,Thursday,Hitech City,IT Park Road,West,West,Public Park,17.453355,78.38756,Medical Emergency,Car Accident,Medium,Open,Ambulance,16,22,8,5,118057,Police,No Streetlights,Yes,Open,Heavy Rain,Yes
455,2024-10-16,19:25:00,2024,10,19,Wednesday,Medchal,Highway Road,North,North,Commercial,17.555734,78.499988,Public Complaint,Heart Attack,Low,In Progress,GHMC,25,47,19,4,67512,Driver,Daylight,No,Open,Rain,No
456,2024-10-27,10:40:00,2024,10,10,Wednesday,Begumpet,Metro Road,North,Central,Residential,17.45452,78.48416,Medical Emergency,Fire Alert,Medium,In Progress,Ambulance,24,14,4,1,189503,Family,Daylight,Yes,Open,Cloudy,No
457,2024-11-07,02:55:00,2024,11,2,Tuesday,Shamshabad,Airport Road,South,South,Commercial,17.322621,78.431782,Crime,Noise Complaint,Critical,In Progress,Police,35,9,8,5,196896,Citizen,No Streetlights,No,Open,Clear,Yes
458,2024-11-18,17:10:00,2024,11,17,Saturday,Patancheru,Industrial Road,North,North,Industrial Area,17.538015,78.402585,Fire,Fire Alert,Medium,Resolved,Fire Department,29,25,9,1,74820,Neighbor,Daylight,No,Open,Cloudy,Yes
459,2024-11-29,06:25:00,2024,11,6,Wednesday,Shadnagar,Village Area,South,South,Village Area,17.313461,78.390919,Public Complaint,Heart Attack,Medium,In Progress,GHMC,25,22,12,10,178415,Driver,Well-lit,No,Open,Clear,No
460,2024-12-10,23:40:00,2024,12,23,Tuesday,Hayathnagar,School Street,East,East,School,17.397109,78.510989,Crime,Fire Alert,High,In Progress,Police,49,36,20,20,104312,Anonymous,Dim,No,Open,Fog,No
461,2024-12-21,02:55:00,2024,12,2,Thursday,Chevella,Agricultural Road,South,South,Residential,17.305695,78.433866,Crime,Heart Attack,Medium,In Progress,Police,11,7,5,1,105655,Family,Well-lit,Yes,Open,Cloudy,Yes
462,2025-01-02,19:10:00,2025,1,19,Friday,Madhapur,Road No 36,West,West,Residential,17.441518,78.40419,Medical Emergency,Flood,Medium,Resolved,Ambulance,56,2,2,1,43297,Police,Well-lit,No,Open,Hot,Yes
463,2025-01-13,22:25:00,2025,1,22,Saturday,Gachibowli,Lake View Road,West,West,Commercial,17.445031,78.341085,Medical Emergency,Fire Alert,Critical,In Progress,Ambulance,39,32,13,13,37371,Neighbor,Daylight,Yes,Open,Fog,Yes
464,2025-01-24,08:40:00,2025,1,8,Saturday,Secunderabad,Railway Station Road,North,North,Residential,17.426468,78.493535,Disaster,Fire Alert,High,Resolved,Disaster Management,17,34,7,4,78703,Neighbor,Well-lit,No,Open,Heavy Rain,No
465,2025-02-04,21:55:00,2025,2,21,Monday,Banjara Hills,Road No 12,Central,Central,Residential,17.438365,78.47323,Disaster,Flood,Medium,Resolved,Disaster Management,52,8,3,0,187422,Neighbor,Dim,No,Open,Hot,No
466,2025-02-15,12:10:00,2025,2,12,Friday,Jubilee Hills,Metro Road,Central,Central,Commercial,17.421254,78.458205,Fire,Theft,Medium,Resolved,Fire Department,11,47,9,1,104198,Citizen,Dim,Yes,Open,Fog,No
467,2025-02-26,00:25:00,2025,2,0,Thursday,Miyapur,Industrial Road,West,North,Industrial Area,17.498424,78.386789,Public Complaint,Heart Attack,Medium,Open,GHMC,15,15,12,2,125985,Anonymous,Daylight,No,Open,Clear,Yes
468,2025-03-09,03:40:00,2025,3,3,Thursday,Uppal,Market Road,East,East,Residential,17.426684,78.575668,Crime,Fire Alert,Low,Open,Police,24,14,9,2,25128,Driver,Well-lit,No,Open,Cloudy,Yes
469,2025-03-20,21:55:00,2025,3,21,Tuesday,Charminar,Old City Lane,South,South,Commercial,17.372351,78.469329,Crime,Noise Complaint,Medium,Open,Police,5,20,18,12,188581,Family,Dim,Yes,Open,Clear,Yes
470,2025-03-31,18:10:00,2025,3,18,Wednesday,Kukatpally,School Street,North,Central,School,17.475642,78.424363,Public Complaint,Theft,Medium,Open,GHMC,10,25,9,8,71241,Citizen,No Streetlights,No,Open,Cloudy,No
471,2025-04-11,14:25:00,2025,4,14,Thursday,Ameerpet,Hospital Road,Central,Central,Hospital,17.425153,78.440949,Disaster,Noise Complaint,Medium,Open,Disaster Management,10,29,6,6,60871,Neighbor,Daylight,Yes,Open,Cloudy,No
472,2025-04-22,11:40:00,2025,4,11,Monday,LB Nagar,Metro Road,East,East,Commercial,17.343044,78.554635,Disaster,Theft,Low,Resolved,Disaster Management,14,17,10,4,17699,Police,Dim,Yes,Open,Rain,Yes
473,2025-05-03,06:55:00,2025,5,6,Sunday,Nampally,Main Road,Central,Central,Commercial,17.4072,78.493158,Public Complaint,Car Accident,Critical,In Progress,GHMC,35,39,10,4,161686,Neighbor,Well-lit,Yes,Open,Clear,No
474,2025-05-14,22:10:00,2025,5,22,Thursday,Tolichowki,Residential Area,South,South,Residential,17.377252,78.436358,Disaster,Car Accident,High,In Progress,Disaster Management,41,29,18,8,182842,Citizen,No Streetlights,Yes,Open,Heavy Rain,No
475,2025-05-25,04:25:00,2025,5,4,Tuesday,Hitech City,IT Park Road,West,West,Public Park,17.441145,78.393137,Crime,Flood,Low,Open,Police,54,6,0,0,18101,Family,Dim,No,Open,Cloudy,Yes
476,2025-06-05,20:40:00,2025,6,20,Friday,Medchal,Highway Road,North,North,Residential,17.570644,78.485459,Public Complaint,Fire Alert,Medium,In Progress,GHMC,58,38,16,2,142006,Citizen,No Streetlights,Yes,Open,Cloudy,No
477,2025-06-16,11:55:00,2025,6,11,Thursday,Begumpet,Metro Road,North,Central,Residential,17.432489,78.490042,Accident,Theft,Critical,In Progress,Traffic Police,57,11,9,1,147701,Neighbor,Well-lit,Yes,Open,Heavy Rain,No
478,2025-06-27,01:10:00,2025,6,1,Sunday,Shamshabad,Airport Road,South,South,Commercial,17.30841,78.422942,Public Complaint,Flood,Low,Open,GHMC,28,9,3,1,65750,Police,Dim,Yes,Open,Rain,No
479,2025-07-08,16:25:00,2025,7,16,Saturday,Patancheru,Industrial Road,North,North,Industrial Area,17.518256,78.405723,Accident,Car Accident,High,Open,Traffic Police,47,3,0,0,86504,Family,Dim,Yes,Open,Clear,Yes
480,2025-07-19,07:40:00,2025,7,7,Sunday,Shadnagar,Village Area,South,South,Village Area,17.299096,78.409782,Crime,Car Accident,Low,In Progress,Police,26,28,2,2,63888,Police,Dim,No,Open,Heavy Rain,No
481,2025-07-30,00:55:00,2025,7,0,Tuesday,Hayathnagar,School Street,East,East,School,17.383665,78.529627,Disaster,Flood,Low,Resolved,Disaster Management,32,40,6,6,168964,Driver,Daylight,No,Open,Fog,No
482,2025-08-10,04:10:00,2025,8,4,Thursday,Chevella,Agricultural Road,South,South,Commercial,17.325,78.430679,Disaster,Theft,Critical,In Progress,Disaster Management,55,50,8,1,52657,Anonymous,Daylight,No,Open,Fog,Yes
483,2025-08-21,20:25:00,2025,8,20,Tuesday,Madhapur,Road No 36,West,West,Residential,17.461966,78.398592,Disaster,Car Accident,High,Resolved,Disaster Management,54,40,8,2,105580,Citizen,Daylight,No,Open,Cloudy,No
484,2025-09-01,23:40:00,2025,9,23,Tuesday,Gachibowli,Lake View Road,West,West,Commercial,17.42216,78.340959,Public Complaint,Noise Complaint,Low,Resolved,GHMC,53,8,0,0,34286,Anonymous,Well-lit,Yes,Open,Cloudy,No
485,2025-09-12,09:55:00,2025,9,9,Monday,Secunderabad,Railway Station Road,North,North,Commercial,17.447216,78.484355,Fire,Theft,Medium,Resolved,Fire Department,14,47,5,3,69946,Driver,No Streetlights,No,Open,Hot,No
486,2025-09-23,20:10:00,2025,9,20,Saturday,Banjara Hills,Road No 12,Central,Central,Commercial,17.428356,78.486576,Fire,Theft,High,In Progress,Fire Department,8,32,0,0,120893,Citizen,Dim,Yes,Open,Rain,No
487,2025-10-04,13:25:00,2025,10,13,Tuesday,Jubilee Hills,Metro Road,Central,Central,Residential,17.425441,78.449043,Public Complaint,Car Accident,Critical,Resolved,GHMC,22,36,10,6,151759,Police,Daylight,No,Open,Clear,Yes
